hub_file,slug,title,highlight,values,flags,verified
numbers.csv,shiken-50mon,本試験の問題数・合格基準点,50問・基準点は年度別,50問 | 45問 | 38点以上 | 2時間,verify_official,OK
numbers.csv,juken-12000,受験手数料,"12,000円（税込）","12,000円 | 8〜9月頃 | 原則不可 | 6,600円等",verify_official,OK
numbers.csv,jikan-2jikan,試験時間2時間,約2時間,2時間 | 約2.4分/問 | 四肢択一 | 全国,verify_official,OK
numbers.csv,gomenjo-45mon,5問免除（45問受験）,45問・33点例（R7）,45問 | 33点以上 | 登録講習修了 | 50問,verify_official,OK
numbers.csv,toroku-6600,登録料の目安,"6,600円（税込）","6,600円 | 4,500円含む例 | 不可 | 20,000円等",verify_official,OK
numbers.csv,shikikin-jogen,敷金の上限（借地借家法）,賃料の2倍まで（目安）,2ヶ月分 | 敷金明細書 | 1ヶ月+利息 | 未払・原状回復,verify_official,OK
numbers.csv,koushinryo,更新料の上限,1ヶ月分以内（目安）,1ヶ月分 | 合意更新 | 正当事由必要 | 別,verify_official,OK
numbers.csv,tatekae,立退料の支払要件,正当事由・相当額,正当事由で更新拒絶 | 通常損耗等考慮 | 別制度 | 正誤頻出,concept_page,
numbers.csv,hoshoukin,保証金・家賃保証,性質で区分,返還性あり得る | 上限規制 | 債務保証 | 性質の正誤,concept_page,
numbers.csv,kanri-uketsuke-hoshu,管理報酬・受託,報酬体系は契約,管理受託契約 | 契約書交付 | 登録制 | 講習免除,concept_page,
numbers.csv,koushin-moushikomi-kikan,更新申入れの期間（建物賃貸借）,期間満了の1年前〜6ヶ月前（目安）,1年前〜6ヶ月前 | 更新請求権 | 申入れ | 期間の数値,verify_official,OK
numbers.csv,tanki-chintai-1nen,短期借家の期間,1年以下・更新なし,1年以下 | なし | 必要 | 1年,verify_official,OK
numbers.csv,shikikin-henkan-1kagetsu,敷金返還の期限,退去後1ヶ月+利息,1ヶ月以内 | 年3% | 未払・原状回復 | 敷金明細書,verify_official,OK
numbers.csv,shikaku-shutoku-koushu,資格取得講習の時間,要項で確認（例：20時間程度）,"20時間程度 | 20,000円例 | 登録講習 | 合格後",verify_official,OK-practice
numbers.csv,jimusho-gyomu-kanrisha,事業所と業務管理者,事業所ごとに1人以上,1人以上 | 賃管士登録等 | 専任性 | 事業所単位,verify_official,OK
numbers.csv,shakka-teikyo-zeikin,社宅提供と税金の目安,要項・税制で確認,貸主提供 | 使用収益 | 課税非課税 | 用語の正誤,concept_page,
numbers.csv,taiin-tachiai,退去立会いの目安,退去時・精算前,退去時 | 敷金控除 | 写真・書面 | ガイドライン,concept_page,
numbers.csv,hoken-hoshou-ryokin,保険・保証の費用目安,契約による,借主負担が多い | 保証料 | 説明義務 | 性質の区別,concept_page,
numbers.csv,shiken-moshikomi-kikan,試験申込期間の目安,例年8〜9月（要項確認）,"8月初旬〜9月下旬 | 12,000円 | 11月頃 | 翌年1月頃",verify_official,OK
numbers.csv,tokutei-chintai-kigen,特定賃貸借の説明期限,宅建類推・ガイドライン,契約前 | 交付義務 | 規制 | サブリース,concept_page,
numbers.csv,genjo-kaifuku-jiko-s32,原状回復請求の時効（手続確認）,原状回復請求の時効 — 数値・条件：基準値は試験要項・省令で確認 / 関連制度：原状回復,基準値は試験要項・省令で確認 | 原状回復 | 学習記録 | 過去問で型確認 | 原状回復請求の時効,concept_page,OK
numbers.csv,hoshoukin-san-kagetsu-s32,保証金返還の目安（手続確認）,保証金返還の目安 — 数値・条件：目安は試験要項・省令で確認 / 関連制度：保証金,目安は試験要項・省令で確認 | 保証金 | 学習記録 | 過去問で型確認 | 保証金返還の目安,concept_page,
numbers.csv,taiin-tsuchi-1month-s32,退去予告期間の目安（手続確認）,退去予告期間の目安 — 関連制度：借地借家法 / 記録・保存：学習記録,借地借家法 | 学習記録 | 過去問で型確認 | 退去予告期間の目安 | 目安は試験要項・省令で確認,concept_page,OK
numbers.csv,shikikin-meisai-30days-s32,敷金明細書の交付（手続確認）,敷金明細書の交付 — 確認テーマ：敷金明細書の交付 / 数値・条件：基準値は試験要項・省令で確認,敷金明細書の交付 | 基準値は試験要項・省令で確認 | 敷金 | 学習記録 | 過去問で型確認,concept_page,OK
numbers.csv,koushinryo-1getsu-s32,合意更新の更新料上限（手続確認）,合意更新の更新料上限 — 数値・条件：基準値は試験要項・省令で確認 / 関連制度：更新料,基準値は試験要項・省令で確認 | 更新料 | 学習記録 | 過去問で型確認 | 合意更新の更新料上限,concept_page,OK
numbers.csv,azukari-zenbu-betsu-s32,預り金の全額分別管理（手続確認）｜s32,預り金の全額分別管理 — 確認テーマ：預り金の全額分別管理 / 数値・条件：基準値は試験要項・省令で確認,預り金の全額分別管理 | 基準値は試験要項・省令で確認 | 分別管理義務 | 学習記録 | 過去問で型確認,concept_page,
numbers.csv,chintaikanrishi-50mon-s32,賃管士試験の問題数（手続確認）,賃管士試験の問題数 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 賃管士試験の問題数 | 基準値は試験要項・省令で確認 | 賃貸不動産経営管理士,concept_page,OK
numbers.csv,baikai-chukai-3months-s32,専任媒介の有効期間（手続確認）,専任媒介の有効期間 — 関連制度：専任媒介契約 / 記録・保存：学習記録,専任媒介契約 | 学習記録 | 過去問で型確認 | 専任媒介の有効期間 | 基準値は試験要項・省令で確認,concept_page,OK
numbers.csv,ritchi-tatemono-s32,立退料の上限（手続確認）,立退料の上限 — 確認テーマ：立退料の上限 / 数値・条件：基準値は試験要項・省令で確認,立退料の上限 | 基準値は試験要項・省令で確認 | 立退料 | 学習記録 | 過去問で型確認,concept_page,OK
numbers.csv,gyomu-kanrisha-1jou-s32,業務管理者1事業所1人（手続確認）,業務管理者1事業所1人 — 確認テーマ：業務管理者1事業所1人 / 数値・条件：基準値は試験要項・省令で確認,業務管理者1事業所1人 | 基準値は試験要項・省令で確認 | 業務管理者 | 学習記録 | 過去問で型確認,verify_official,OK
numbers.csv,koushin-moushiire-kikan-s33,更新申入期間（数値確認）,更新申入期間 — 数値・条件：基準値は試験要項・省令で確認 / 関連制度：普通借家,基準値は試験要項・省令で確認 | 普通借家 | 学習記録 | 過去問で型確認 | 更新申入期間,concept_page,OK
numbers.csv,shikikin-jogen-2bai-s33,敷金上限2倍（数値確認）,敷金上限2倍 — 数値・条件：基準値は試験要項・省令で確認 / 関連制度：敷金,基準値は試験要項・省令で確認 | 敷金 | 学習記録 | 過去問で型確認 | 敷金上限2倍,verify_official,OK
numbers.csv,koushinryo-1getsu-s33,合意更新の更新料（数値確認）,合意更新の更新料 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 合意更新の更新料 | 基準値は試験要項・省令で確認 | 更新料,concept_page,OK
numbers.csv,ritai-6getsu-s33,立退料6ヶ月上限（数値確認）,立退料6ヶ月上限 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 立退料6ヶ月上限 | 基準値は試験要項・省令で確認 | 立退料,verify_official,OK
numbers.csv,taiin-yokoku-1getsu-s33,退去予告1ヶ月（数値確認）,退去予告1ヶ月 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 退去予告1ヶ月 | 基準値は試験要項・省令で確認 | 借地借家法,verify_official,OK
numbers.csv,shikikin-henkan-1getsu-s33,敷金返還1ヶ月（数値確認）,敷金返還1ヶ月 — 関連制度：敷金 / 記録・保存：学習記録,敷金 | 学習記録 | 過去問で型確認 | 敷金返還1ヶ月 | 基準値は試験要項・省令で確認,verify_official,OK
numbers.csv,teiki-kikan-min-s33,定期借家の最短期間（数値確認）,定期借家の最短期間 — 数値・条件：基準値は試験要項・省令で確認 / 関連制度：定期借家,基準値は試験要項・省令で確認 | 定期借家 | 学習記録 | 過去問で型確認 | 定期借家の最短期間,concept_page,OK
